Time[s],Power[W]
0.03,0.0
1.07,0.0
2.10,0.0
3.13,0.0
4.17,0.0
5.26,0.0
6.29,0.0
7.33,0.0
8.36,0.0
9.39,0.0
10.42,0.0
11.46,0.0
12.50,0.0
13.53,0.0
14.56,0.0
15.59,0.0
16.62,0.0
17.66,0.0
18.69,0.0
19.72,0.0
20.75,0.0
21.79,0.0
22.82,0.0
23.85,0.0
24.89,0.0
25.92,0.0
26.95,0.0
27.98,0.0
29.02,0.0
30.05,0.0
31.08,0.0
32.17,0.0
33.20,0.0
34.24,0.0
35.28,0.0
36.31,0.675
37.34,0.675
38.38,0.675
39.41,6.738
40.44,6.738
41.48,18.454
42.51,28.613
43.54,28.613
44.57,39.18
45.61,49.728
46.64,49.728
47.67,60.571
48.70,70.425
49.74,70.425
50.77,78.913
51.80,78.927
52.84,78.855
53.87,78.855
54.90,78.896
55.94,78.91
56.97,78.91
58.00,78.884
59.04,78.862
60.07,78.862
61.11,78.967
62.19,78.882
63.22,78.882
64.25,78.867
65.29,78.919
66.32,78.848
67.36,78.848
68.39,78.854
69.53,78.834
70.56,78.834
71.59,78.864
72.62,78.882
73.66,78.882
74.69,78.83
75.72,78.837
76.76,78.837
77.79,78.853
78.82,78.914
79.86,78.844
80.90,78.844
81.93,78.868
82.96,78.833
84.00,78.833
85.03,78.894
86.07,78.877
87.10,78.877
88.14,78.984
89.17,78.938
90.20,78.938
91.24,78.863
92.27,78.927
93.31,78.927
94.34,78.847
95.38,78.866
96.41,78.976
97.44,78.976
98.48,78.795
99.52,78.978
100.55,78.978
101.59,78.893
102.63,79.011
103.66,79.011
104.69,78.917
105.73,78.948
106.76,78.948
107.79,78.954
108.83,78.93
109.87,78.86
110.91,78.86
111.94,78.875
112.98,78.981
114.01,78.981
115.05,78.996
116.08,78.976
117.12,78.976
118.16,79.026
119.19,78.929
120.23,78.929
121.26,78.949
122.32,79.063
123.38,78.986
124.44,78.986
125.48,78.99
126.51,78.949
127.54,78.949
128.58,79.024
129.61,78.959
130.76,78.959
131.80,78.999
132.83,79.082
133.87,78.998
134.90,78.998
135.93,79.049
136.97,79.107
138.01,79.107
139.05,78.97
140.08,79.079
141.12,79.079
142.15,79.125
143.19,79.082
144.22,79.082
145.25,79.04
146.29,79.136
147.32,79.136
148.36,79.103
149.40,79.166
150.43,79.215
151.47,79.215
152.50,79.129
153.54,79.069
154.57,79.069
155.61,79.088
156.64,79.106
157.67,79.106
158.71,79.143
159.75,79.21
160.78,79.21
161.81,79.137
162.86,79.105
163.90,79.126
164.94,79.126
165.97,79.133
167.00,79.131
168.04,79.131
169.07,79.176
170.10,79.186
171.14,79.186
172.17,79.128
173.21,79.176
174.25,79.176
175.28,79.159
176.32,79.123
177.35,79.136
178.39,79.136
